user,group,session,timestamp,sourceFile,survived,killed,mutants_count,game_mode
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,Building.java,8,0,8,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,Car.java,13,0,13,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,City.java,22,0,22,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,Coords.java,11,4,15,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,House.java,2,0,2,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,Parking.java,16,0,16,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,Person.java,0,2,2,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,PolyLine.java,20,0,20,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,Road.java,3,0,3,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,2025-04-17 09:25:49.752000+02:00,Vehicle.java,2,13,15,achievements
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,Building.java,8,0,8,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,Car.java,0,13,13,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,City.java,22,0,22,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,Coords.java,11,4,15,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,House.java,2,0,2,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,Parking.java,16,0,16,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,Person.java,0,2,2,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,PolyLine.java,20,0,20,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,Road.java,3,0,3,leaderboard
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,2025-04-17 10:07:37.190000+02:00,Vehicle.java,2,13,15,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,Building.java,8,0,8,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,Car.java,13,0,13,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,City.java,22,0,22,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,Coords.java,3,12,15,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,House.java,2,0,2,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,Parking.java,16,0,16,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,Person.java,0,2,2,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,PolyLine.java,20,0,20,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,Road.java,3,0,3,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,2025-04-17 09:26:18.184000+02:00,Vehicle.java,0,15,15,achievements
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,Building.java,3,5,8,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,Car.java,6,7,13,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,City.java,22,0,22,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,Coords.java,3,12,15,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,House.java,0,2,2,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,Parking.java,16,0,16,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,Person.java,0,2,2,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,PolyLine.java,17,3,20,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,Road.java,1,2,3,leaderboard
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,2025-04-17 10:07:31.004000+02:00,Vehicle.java,0,15,15,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Building.java,8,0,8,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Car.java,13,0,13,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,City.java,22,0,22,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Coords.java,7,8,15,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,House.java,2,0,2,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Parking.java,16,0,16,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Person.java,2,0,2,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,PolyLine.java,20,0,20,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Road.java,3,0,3,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,2025-04-17 09:26:01.215000+02:00,Vehicle.java,15,0,15,achievements
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Building.java,8,0,8,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Car.java,13,0,13,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,City.java,22,0,22,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Coords.java,7,8,15,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,House.java,2,0,2,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Parking.java,16,0,16,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Person.java,0,2,2,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,PolyLine.java,20,0,20,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Road.java,3,0,3,leaderboard
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,2025-04-17 10:06:56.843000+02:00,Vehicle.java,15,0,15,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Building.java,8,0,8,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Car.java,13,0,13,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,City.java,22,0,22,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Coords.java,11,4,15,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,House.java,2,0,2,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Parking.java,16,0,16,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Person.java,2,0,2,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,PolyLine.java,20,0,20,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Road.java,3,0,3,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,2025-04-17 09:24:52.114000+02:00,Vehicle.java,15,0,15,leaderboard
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,Building.java,8,0,8,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,Car.java,13,0,13,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,City.java,22,0,22,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,Coords.java,9,6,15,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,House.java,2,0,2,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,Parking.java,16,0,16,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,Person.java,2,0,2,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,PolyLine.java,20,0,20,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,Road.java,3,0,3,achievements
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,2025-04-17 10:05:03.689000+02:00,Vehicle.java,15,0,15,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,Building.java,8,0,8,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,Car.java,13,0,13,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,City.java,22,0,22,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,Coords.java,11,4,15,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,House.java,2,0,2,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,Parking.java,16,0,16,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,Person.java,2,0,2,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,PolyLine.java,20,0,20,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,Road.java,3,0,3,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,2025-04-17 09:24:21.034000+02:00,Vehicle.java,15,0,15,leaderboard
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,Building.java,8,0,8,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,Car.java,13,0,13,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,City.java,22,0,22,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,Coords.java,11,4,15,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,House.java,2,0,2,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,Parking.java,16,0,16,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,Person.java,2,0,2,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,PolyLine.java,20,0,20,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,Road.java,3,0,3,achievements
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,2025-04-17 10:05:22.289000+02:00,Vehicle.java,15,0,15,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,Building.java,8,0,8,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,Car.java,13,0,13,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,City.java,22,0,22,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,Coords.java,9,6,15,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,House.java,2,0,2,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,Parking.java,16,0,16,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,Person.java,0,2,2,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,PolyLine.java,20,0,20,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,Road.java,3,0,3,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,2025-04-17 09:30:32.138000+02:00,Vehicle.java,15,0,15,leaderboard
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,Building.java,8,0,8,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,Car.java,5,8,13,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,City.java,22,0,22,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,Coords.java,9,6,15,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,House.java,2,0,2,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,Parking.java,16,0,16,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,Person.java,0,2,2,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,PolyLine.java,20,0,20,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,Road.java,3,0,3,achievements
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,2025-04-17 10:06:34.682000+02:00,Vehicle.java,4,11,15,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,Building.java,8,0,8,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,Car.java,13,0,13,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,City.java,22,0,22,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,Coords.java,7,8,15,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,House.java,2,0,2,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,Parking.java,16,0,16,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,Person.java,2,0,2,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,PolyLine.java,20,0,20,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,Road.java,3,0,3,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,2025-04-17 09:25:49.745000+02:00,Vehicle.java,15,0,15,achievements
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,Building.java,8,0,8,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,Car.java,9,4,13,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,City.java,22,0,22,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,Coords.java,3,12,15,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,House.java,2,0,2,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,Parking.java,16,0,16,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,Person.java,0,2,2,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,PolyLine.java,20,0,20,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,Road.java,3,0,3,leaderboard
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,2025-04-17 10:06:48.693000+02:00,Vehicle.java,14,1,15,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,Building.java,3,5,8,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,Car.java,13,0,13,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,City.java,22,0,22,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,Coords.java,15,0,15,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,House.java,0,2,2,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,Parking.java,5,11,16,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,Person.java,2,0,2,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,PolyLine.java,20,0,20,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,Road.java,3,0,3,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,2025-04-17 09:24:22.643000+02:00,Vehicle.java,14,1,15,leaderboard
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,Building.java,3,5,8,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,Car.java,12,1,13,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,City.java,22,0,22,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,Coords.java,15,0,15,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,House.java,0,2,2,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,Parking.java,5,11,16,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,Person.java,2,0,2,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,PolyLine.java,20,0,20,achievements
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,2025-04-17 10:05:30.372000+02:00,Road.java,3,0,3,achievements
